Date,Odometer,Consumption
10/07/2014,128,3.56
11/07/2014,2362,2.9
11/07/2014,1588,2.89
12/07/2014,2613,3.39
13/07/2014,3740,2.91
14/07/2014,4866,3.02
15/07/2014,7183,2.77
15/07/2014,6222,2.99
16/07/2014,8043,3.25
17/07/2014,9146,3.01
18/07/2014,10031,2.85
19/07/2014,11215,2.91
21/07/2014,12495,3.13
21/07/2014,11903,3.17
25/07/2014,14010,2.96
31/07/2014,15465,2.98
02/08/2014,16579,3.67
05/08/2014,17841,3.45
25/08/2014,19214,3.15
01/09/2014,20615,3.09
07/09/2014,22097,2.96
15/09/2014,23531,3.01
19/09/2014,25011,3
22/09/2014,26540,2.86
26/09/2014,28010,3.03
28/09/2014,29423,2.96
02/10/2014,30964,2.89
09/10/2014,32417,2.99
13/10/2014,33800,3.04
14/10/2014,34977,3.44
17/10/2014,36320,3.16
23/10/2014,37774,2.99
28/10/2014,39224,3
03/11/2014,40654,3.15
07/11/2014,42070,3.07
13/11/2014,43509,3.06
19/11/2014,44622,3.25
23/11/2014,46192,2.82
27/11/2014,47646,3.01
07/12/2014,49065,3.07
08/12/2014,50493,3.04
13/12/2014,51855,3.19
17/12/2014,53280,3.12
22/12/2014,54680,3.13
29/12/2014,56066,3.25
31/12/2014,56785,2.92
08/01/2015,58187,3.07
11/01/2015,59350,3.35
19/01/2015,60660,3.22
26/01/2015,62103,2.94
30/01/2015,63468,3.13
08/02/2015,64657,3.6
11/02/2015,66040,3.07
18/02/2015,67420,2.83
25/02/2015,68802,3.18
07/03/2015,70321,2.83
10/03/2015,71943,2.69
16/03/2015,73489,2.86
20/03/2015,75015,2.9
25/03/2015,76615,2.79
30/03/2015,78140,2.87
03/04/2015,79616,2.98
09/04/2015,81175,2.84
13/04/2015,82810,2.74
15/04/2015,83333,2.87
19/04/2015,85583,2.81
19/04/2015,84852,2.86
23/04/2015,87115,2.9
08/05/2015,88638,2.95
12/05/2015,90207,2.8
18/05/2015,91700,2.99
24/05/2015,93275,2.81
27/05/2015,94830,2.83
03/06/2015,96340,2.89
08/06/2015,97922,2.89
18/06/2015,99468,2.91
21/06/2015,100004,2.85
25/06/2015,101520,2.9
03/07/2015,103162,2.68
13/07/2015,104640,2.91
21/07/2015,106156,2.94
28/07/2015,107756,2.81
06/08/2015,109315,2.89
08/08/2015,110948,2.69
10/08/2015,112385,3.09
14/08/2015,114040,2.78
20/08/2015,115635,2.84
25/08/2015,117169,2.79
31/08/2015,118660,2.97
14/09/2015,120155,2.97
20/09/2015,121638,2.9
24/09/2015,123085,2.98
02/10/2015,124481,3.13
04/10/2015,125901,2.98
09/10/2015,127448,2.88
18/10/2015,128762,3.24
22/10/2015,130161,3.14
28/10/2015,131655,2.89
02/11/2015,133128,2.97
09/11/2015,134665,2.9
12/11/2015,135435,3
07/12/2015,136888,3.07
11/12/2015,138406,2.89
18/12/2015,139912,2.97
22/12/2015,141441,2.88
28/12/2015,142815,2.93
30/12/2015,143864,2.76
07/01/2016,145337,2.99
11/01/2016,146785,3.07
15/01/2016,147995,3.07
21/01/2016,149385,3.17
